stato,marca,modello,anno_da,anno_a,nome_file_consigliato
MANCANTE,LAND ROVER,Discovery,2004,2009,land-rover-discovery-2004-2009.png
MANCANTE,LAND ROVER,Evoque,2012,2018,land-rover-evoque-2012-2018.png
MANCANTE,LAND ROVER,Freelander,2006,2012,land-rover-freelander-2006-2012.png
MANCANTE,LAND ROVER,Sport,2013,2017,land-rover-sport-2013-2017.png
MANCANTE,MAZDA,2,2011,2015,mazda-2-2011-2015.png
MANCANTE,MAZDA,3,2010,2013,mazda-3-2010-2013.png
MANCANTE,MAZDA,3 Axela,2013,2018,mazda-3-axela-2013-2018.png
MANCANTE,MAZDA,6,2007,2012,mazda-6-2007-2012.png
MANCANTE,MAZDA,CX-5,2012,2015,mazda-cx-5-2012-2015.png
MANCANTE,MAZDA,MX-5,2016,2020,mazda-mx-5-2016-2020.png
MANCANTE,MERCEDES,C220,2000,2005,mercedes-c220-2000-2005.png
MANCANTE,MERCEDES,CLC,2008,2011,mercedes-clc-2008-2011.png
MANCANTE,MERCEDES,CLK,1998,2004,mercedes-clk-1998-2004.png
MANCANTE,MERCEDES,Clase A,2004,2014,mercedes-clase-a-2004-2014.png
MANCANTE,MERCEDES,Clase B,2013,2015,mercedes-clase-b-2013-2015.png
MANCANTE,MERCEDES,Clase C,2011,2014,mercedes-clase-c-2011-2014.png
MANCANTE,MERCEDES,Clase E,1994,2003,mercedes-clase-e-1994-2003.png
MANCANTE,MERCEDES,Clase M,2005,2012,mercedes-clase-m-2005-2012.png
MANCANTE,MERCEDES,SL,2001,2007,mercedes-sl-2001-2007.png
MANCANTE,MERCEDES,Vito,2003,2020,mercedes-vito-2003-2020.png
MANCANTE,MITSUBISHI,ASX,2010,2022,mitsubishi-asx-2010-2022.png
MANCANTE,MITSUBISHI,Grandis,2003,2011,mitsubishi-grandis-2003-2011.png
MANCANTE,MITSUBISHI,Mirage,2012,2023,mitsubishi-mirage-2012-2023.png
MANCANTE,MITSUBISHI,Montero,1999,2006,mitsubishi-montero-1999-2006.png
MANCANTE,MITSUBISHI,Outlander,2005,2011,mitsubishi-outlander-2005-2011.png
MANCANTE,MITSUBISHI,Pajero,1999,2011,mitsubishi-pajero-1999-2011.png
MANCANTE,MITSUBISHI,Shogun,2008,2020,mitsubishi-shogun-2008-2020.png
MANCANTE,MUSTANG,Mustang,2010,2014,mustang-mustang-2010-2014.png
MANCANTE,NISSAN,Evalia,2009,2016,nissan-evalia-2009-2016.png
MANCANTE,NISSAN,Micra K13,2010,2013,nissan-micra-k13-2010-2013.png
MANCANTE,NISSAN,Murano,2002,2008,nissan-murano-2002-2008.png
MANCANTE,NISSAN,NV200,2009,2013,nissan-nv200-2009-2013.png
MANCANTE,NISSAN,Navara,2014,2023,nissan-navara-2014-2023.png
PARZIALE,NISSAN,Note,2004,2011,nissan-note-2004-2011.png
MANCANTE,NISSAN,Pathfinder,2004,2015,nissan-pathfinder-2004-2015.png
MANCANTE,NISSAN,Primastar,2006,2014,nissan-primastar-2006-2014.png
MANCANTE,NISSAN,Pulsar,2014,2018,nissan-pulsar-2014-2018.png
MANCANTE,NISSAN,Qashqai,2006,2021,nissan-qashqai-2006-2021.png
MANCANTE,NISSAN,Universal,2011,2018,nissan-universal-2011-2018.png
MANCANTE,NISSAN,X-Trail,2013,2022,nissan-x-trail-2013-2022.png
MANCANTE,OPEL,Astra,2009,2019,opel-astra-2009-2019.png
MANCANTE,OPEL,Corsa,2007,2019,opel-corsa-2007-2019.png
MANCANTE,OPEL,Grandland,2016,2020,opel-grandland-2016-2020.png
MANCANTE,OPEL,Insignia,2009,2018,opel-insignia-2009-2018.png
MANCANTE,OPEL,Mokka,2012,2019,opel-mokka-2012-2019.png
MANCANTE,OPEL,Tigra,2004,2026,opel-tigra-2004-2026.png
MANCANTE,OPEL,Vivaro,2006,2014,opel-vivaro-2006-2014.png
MANCANTE,OPEL,Zafira,2005,2026,opel-zafira-2005-2026.png
MANCANTE,PEUGEOT,206,2000,2016,peugeot-206-2000-2016.png
MANCANTE,PEUGEOT,208,2014,2018,peugeot-208-2014-2018.png
MANCANTE,PEUGEOT,3008,2009,2016,peugeot-3008-2009-2016.png
MANCANTE,PEUGEOT,307,2002,2013,peugeot-307-2002-2013.png
MANCANTE,PEUGEOT,308,2007,2015,peugeot-308-2007-2015.png
MANCANTE,PEUGEOT,407,2004,2011,peugeot-407-2004-2011.png
MANCANTE,PEUGEOT,508,2011,2018,peugeot-508-2011-2018.png
MANCANTE,PEUGEOT,Boxer,2005,2024,peugeot-boxer-2005-2024.png
MANCANTE,PEUGEOT,Partner,2002,2019,peugeot-partner-2002-2019.png
MANCANTE,PEUGEOT,Rifter,2019,2024,peugeot-rifter-2019-2024.png
MANCANTE,PORSCHE,Cayenne,2002,2010,porsche-cayenne-2002-2010.png
MANCANTE,PORSCHE,Panamera,2010,2016,porsche-panamera-2010-2016.png
MANCANTE,RENAULT,Captur,2013,2024,renault-captur-2013-2024.png
MANCANTE,RENAULT,Captur 2,2020,2024,renault-captur-2-2020-2024.png
MANCANTE,RENAULT,Clio,2005,2019,renault-clio-2005-2019.png
MANCANTE,RENAULT,Clio 3,2005,2014,renault-clio-3-2005-2014.png
MANCANTE,RENAULT,Clio 5,2020,2024,renault-clio-5-2020-2024.png
MANCANTE,RENAULT,Kangoo,2008,2022,renault-kangoo-2008-2022.png
MANCANTE,RENAULT,Laguna,2001,2007,renault-laguna-2001-2007.png
MANCANTE,RENAULT,Laguna,2011,2015,renault-laguna-2011-2015.png
MANCANTE,RENAULT,Megane,2008,2014,renault-megane-2008-2014.png
MANCANTE,RENAULT,Megane,2017,2019,renault-megane-2017-2019.png
MANCANTE,RENAULT,Sandero,2012,2019,renault-sandero-2012-2019.png
MANCANTE,RENAULT,Scenic,2016,2020,renault-scenic-2016-2020.png
MANCANTE,RENAULT,Trafic,2001,2010,renault-trafic-2001-2010.png
MANCANTE,RENAULT,Trafic,2014,2025,renault-trafic-2014-2025.png
MANCANTE,SEAT,Arona,2017,2020,seat-arona-2017-2020.png
MANCANTE,SEAT,Ibiza,2002,2008,seat-ibiza-2002-2008.png
MANCANTE,SEAT,Ibiza,2017,2021,seat-ibiza-2017-2021.png
MANCANTE,SEAT,León,2005,2020,seat-leon-2005-2020.png
MANCANTE,SKODA,Octavia,2004,2013,skoda-octavia-2004-2013.png
MANCANTE,SKODA,Yeti,2009,2014,skoda-yeti-2009-2014.png
MANCANTE,SMART,Fortwo,2014,2020,smart-fortwo-2014-2020.png
MANCANTE,SUBARU,Forester,2015,2018,subaru-forester-2015-2018.png
MANCANTE,SUBARU,Legacy,2009,2018,subaru-legacy-2009-2018.png
MANCANTE,SUZUKI,Alto,2009,2016,suzuki-alto-2009-2016.png
MANCANTE,SUZUKI,Baleno,2016,2019,suzuki-baleno-2016-2019.png
MANCANTE,SUZUKI,Jimny,2005,2019,suzuki-jimny-2005-2019.png
MANCANTE,SUZUKI,SX4,2006,2014,suzuki-sx4-2006-2014.png
MANCANTE,SUZUKI,Splash,2008,2012,suzuki-splash-2008-2012.png
MANCANTE,SUZUKI,Swift,2011,2015,suzuki-swift-2011-2015.png
MANCANTE,SUZUKI,Vitara,2015,2020,suzuki-vitara-2015-2020.png
MANCANTE,TOYOTA,Auris,2006,2019,toyota-auris-2006-2019.png
MANCANTE,TOYOTA,Avensis,2002,2018,toyota-avensis-2002-2018.png
MANCANTE,TOYOTA,C-HR,2016,2020,toyota-c-hr-2016-2020.png
MANCANTE,TOYOTA,CH-R,2016,2020,toyota-ch-r-2016-2020.png
MANCANTE,TOYOTA,Celica,1990,1993,toyota-celica-1990-1993.png
MANCANTE,TOYOTA,Corolla,1995,2013,toyota-corolla-1995-2013.png
MANCANTE,TOYOTA,Land Cruiser,2002,2020,toyota-land-cruiser-2002-2020.png
MANCANTE,TOYOTA,Land Cruiser 100,2003,2006,toyota-land-cruiser-100-2003-2006.png
MANCANTE,TOYOTA,Matrix,2003,2008,toyota-matrix-2003-2008.png
MANCANTE,TOYOTA,Prado,2002,2009,toyota-prado-2002-2009.png
MANCANTE,TOYOTA,Prius,2015,2020,toyota-prius-2015-2020.png
MANCANTE,TOYOTA,Proace,2016,2021,toyota-proace-2016-2021.png
MANCANTE,TOYOTA,RAV4,2001,2006,toyota-rav4-2001-2006.png
MANCANTE,TOYOTA,RAV4,2018,2023,toyota-rav4-2018-2023.png
MANCANTE,TOYOTA,Yaris,2005,2020,toyota-yaris-2005-2020.png
MANCANTE,VOLKSWAGEN,Beetle,2000,2019,volkswagen-beetle-2000-2019.png
MANCANTE,VOLKSWAGEN,Caddy,2005,2020,volkswagen-caddy-2005-2020.png
MANCANTE,VOLKSWAGEN,Caravelle,2015,2020,volkswagen-caravelle-2015-2020.png
MANCANTE,VOLKSWAGEN,Crafter,2017,2021,volkswagen-crafter-2017-2021.png
MANCANTE,VOLKSWAGEN,Golf,2011,2021,volkswagen-golf-2011-2021.png
MANCANTE,VOLKSWAGEN,Jetta,2018,2021,volkswagen-jetta-2018-2021.png
MANCANTE,VOLKSWAGEN,Passat,2005,2020,volkswagen-passat-2005-2020.png
MANCANTE,VOLKSWAGEN,Polo,2004,2020,volkswagen-polo-2004-2020.png
MANCANTE,VOLKSWAGEN,Scirocco,2009,2016,volkswagen-scirocco-2009-2016.png
MANCANTE,VOLKSWAGEN,Sharan,2010,2022,volkswagen-sharan-2010-2022.png
MANCANTE,VOLKSWAGEN,T5,2003,2015,volkswagen-t5-2003-2015.png
MANCANTE,VOLKSWAGEN,T6,2015,2021,volkswagen-t6-2015-2021.png
MANCANTE,VOLKSWAGEN,Tiguan,2007,2019,volkswagen-tiguan-2007-2019.png
MANCANTE,VOLKSWAGEN,Touran,2003,2010,volkswagen-touran-2003-2010.png
MANCANTE,VOLVO,S40,2006,2012,volvo-s40-2006-2012.png
MANCANTE,VOLVO,S60,2005,2009,volvo-s60-2005-2009.png
MANCANTE,VOLVO,V60,2011,2020,volvo-v60-2011-2020.png
MANCANTE,VOLVO,XC60,2008,2017,volvo-xc60-2008-2017.png
MANCANTE,VOLVO,XC90,2002,2014,volvo-xc90-2002-2014.png
